Query,Response
What does error 0x58B mean?,The error 0x58B (ERROR_HOTKEY_NOT_REGISTERED) means the hot key is not registered.
What does error 0x58C mean?,The error 0x58C (ERROR_WINDOW_NOT_DIALOG) means the window is not a valid dialog window.
What does error 0x58D mean?,The error 0x58D (ERROR_CONTROL_ID_NOT_FOUND) means the control ID was not found.
What does error 0x58E mean?,The error 0x58E (ERROR_INVALID_COMBOBOX_MESSAGE) indicates an invalid message for a combo box because it does not have an edit control.
What does error 0x58F mean?,The error 0x58F (ERROR_WINDOW_NOT_COMBOBOX) means the window is not a combo box.
What does error 0x590 mean?,The error 0x590 (ERROR_INVALID_EDIT_HEIGHT) means the height must be less than 256.
What does error 0x591 mean?,The error 0x591 (ERROR_DC_NOT_FOUND) means the device context (DC) handle is invalid.
What does error 0x592 mean?,The error 0x592 (ERROR_INVALID_HOOK_FILTER) means the hook procedure type is invalid.
What does error 0x593 mean?,The error 0x593 (ERROR_INVALID_FILTER_PROC) means the hook procedure is invalid.
What does error 0x594 mean?,The error 0x594 (ERROR_HOOK_NEEDS_HMOD) indicates that a nonlocal hook cannot be set without a module handle.
What does error 0x595 mean?,The error 0x595 (ERROR_GLOBAL_ONLY_HOOK) means this hook procedure can only be set globally.
What does error 0x596 mean?,The error 0x596 (ERROR_JOURNAL_HOOK_SET) means the journal hook procedure is already installed.
What does error 0x597 mean?,The error 0x597 (ERROR_HOOK_NOT_INSTALLED) indicates the hook procedure is not installed.
What does error 0x598 mean?,The error 0x598 (ERROR_INVALID_LB_MESSAGE) means the message for a single-selection list box is invalid.
What does error 0x599 mean?,The error 0x599 (ERROR_SETCOUNT_ON_BAD_LB) means the LB_SETCOUNT message was sent to a non-lazy list box.
What does error 0x59A mean?,The error 0x59A (ERROR_LB_WITHOUT_TABSTOPS) means this list box does not support tab stops.
What does error 0x59B mean?,The error 0x59B (ERROR_DESTROY_OBJECT_OF_OTHER_THREAD) means an object created by another thread cannot be destroyed.
What does error 0x59C mean?,The error 0x59C (ERROR_CHILD_WINDOW_MENU) means child windows cannot have menus.
What does error 0x59D mean?,The error 0x59D (ERROR_NO_SYSTEM_MENU) means the window does not have a system menu.
What does error 0x59E mean?,The error 0x59E (ERROR_INVALID_MSGBOX_STYLE) means the message box style is invalid.
What does error 0x59F mean?,The error 0x59F (ERROR_INVALID_SPI_VALUE) means an invalid system-wide (SPI_*) parameter was provided.
What does error 0x5A0 mean?,The error 0x5A0 (ERROR_SCREEN_ALREADY_LOCKED) means the screen is already locked.
What does error 0x5A1 mean?,The error 0x5A1 (ERROR_HWNDS_HAVE_DIFF_PARENT) means all handles to windows in a multiple-window position structure must have the same parent.
What does error 0x5A2 mean?,The error 0x5A2 (ERROR_NOT_CHILD_WINDOW) means the window is not a child window.
What does error 0x5A3 mean?,The error 0x5A3 (ERROR_INVALID_GW_COMMAND) means an invalid GW_* command was issued.
What does error 0x5A4 mean?,The error 0x5A4 (ERROR_INVALID_THREAD_ID) means the thread identifier is invalid.
What does error 0x5A5 mean?,The error 0x5A5 (ERROR_NON_MDICHILD_WINDOW) means a message cannot be processed from a window that is not an MDI window.
What does error 0x5A6 mean?,The error 0x5A6 (ERROR_POPUP_ALREADY_ACTIVE) means the popup menu is already active.
What does error 0x5A7 mean?,The error 0x5A7 (ERROR_NO_SCROLLBARS) means the window does not have scroll bars.
What does error 0x5A8 mean?,The error 0x5A8 (ERROR_INVALID_SCROLLBAR_RANGE) means the scroll bar range cannot be greater than MAXLONG.
What does error 0x5A9 mean?,The error 0x5A9 (ERROR_INVALID_SHOWWIN_COMMAND) means the window cannot be shown or removed as specified.
What does error 0x5AA mean?,The error 0x5AA (ERROR_NO_SYSTEM_RESOURCES) means insufficient system resources exist to complete the requested service.
What does error 0x5AB mean?,The error 0x5AB (ERROR_NONPAGED_SYSTEM_RESOURCES) means insufficient nonpaged system resources exist to complete the requested service.
What does error 0x5AC mean?,The error 0x5AC (ERROR_PAGED_SYSTEM_RESOURCES) means insufficient paged system resources exist to complete the requested service.
What does error 0x5AD mean?,The error 0x5AD (ERROR_WORKING_SET_QUOTA) means there is insufficient quota to complete the requested service.
What does error 0x5AE mean?,The error 0x5AE (ERROR_PAGEFILE_QUOTA) means there is insufficient quota to complete the requested service.
What does error 0x5AF mean?,The error 0x5AF (ERROR_COMMITMENT_LIMIT) means the paging file is too small for this operation to complete.
What does error 0x5B0 mean?,The error 0x5B0 (ERROR_MENU_ITEM_NOT_FOUND) means a menu item was not found.
What does error 0x5B1 mean?,The error 0x5B1 (ERROR_INVALID_KEYBOARD_HANDLE) means the keyboard layout handle is invalid.
What does error 0x5B2 mean?,The error 0x5B2 (ERROR_HOOK_TYPE_NOT_ALLOWED) means the hook type is not allowed.
What does error 0x5B3 mean?,The error 0x5B3 (ERROR_REQUIRES_INTERACTIVE_WINDOWSTATION) means this operation requires an interactive window station.
What does error 0x5B4 mean?,The error 0x5B4 (ERROR_TIMEOUT) means the operation returned because the timeout period expired.
What does error 0x5B5 mean?,The error 0x5B5 (ERROR_INVALID_MONITOR_HANDLE) means the monitor handle is invalid.
What does error 0x5B6 mean?,The error 0x5B6 (ERROR_INCORRECT_SIZE) means the size argument is incorrect.
What does error 0x5B7 mean?,The error 0x5B7 (ERROR_SYMLINK_CLASS_DISABLED) means the symbolic link cannot be followed because its type is disabled.
What does error 0x5B8 mean?,The error 0x5B8 (ERROR_SYMLINK_NOT_SUPPORTED) means this application does not support the current operation on symbolic links.
What does error 0x5B9 mean?,The error 0x5B9 (ERROR_XML_PARSE_ERROR) means Windows was unable to parse the requested XML data.
What does error 0x5BA mean?,The error 0x5BA (ERROR_XMLDSIG_ERROR) means an error was encountered while processing an XML digital signature.
What does error 0x5BB mean?,The error 0x5BB (ERROR_RESTART_APPLICATION) means this application must be restarted.
What does error 0x5BC mean?,The error 0x5BC (ERROR_WRONG_COMPARTMENT) means the caller made the connection request in the wrong routing compartment.
What does error 0x5BD mean?,The error 0x5BD (ERROR_AUTHIP_FAILURE) means there was an AuthIP failure when attempting to connect to the remote host.
What does error 0x5BE mean?,The error 0x5BE (ERROR_NO_NVRAM_RESOURCES) means insufficient NVRAM resources exist to complete the requested service. A reboot might be required.
What does error 0x5BF mean?,The error 0x5BF (ERROR_NOT_GUI_PROCESS) means the specified process is not a GUI process.
What does error 0x5DC mean?,The error 0x5DC (ERROR_EVENTLOG_FILE_CORRUPT) means the event log file is corrupted.
What does error 0x5DD mean?,The error 0x5DD (ERROR_EVENTLOG_CANT_START) means no event log file could be opened so the event logging service did not start.
What does error 0x5DE mean?,The error 0x5DE (ERROR_LOG_FILE_FULL) means the event log file is full.
What does error 0x5DF mean?,The error 0x5DF (ERROR_EVENTLOG_FILE_CHANGED) means the event log file has changed between read operations.
What does error 0x60E mean?,The error 0x60E (ERROR_INVALID_TASK_NAME) means the specified task name is invalid.
What does error 0x60F mean?,The error 0x60F (ERROR_INVALID_TASK_INDEX) means the specified task index is invalid.
What does error 0x610 mean?,The error 0x610 (ERROR_THREAD_ALREADY_IN_TASK) means the specified thread is already joining a task.
What does error 0x641 mean?,The error 0x641 (ERROR_INSTALL_SERVICE_FAILURE) means the Windows Installer Service could not be accessed. This can occur if the Windows Installer is not correctly installed.
What does error 0x642 mean?,The error 0x642 (ERROR_INSTALL_USEREXIT) means the user cancelled installation.
What does error 0x643 mean?,The error 0x643 (ERROR_INSTALL_FAILURE) means there was a fatal error during installation.
What does error 0x644 mean?,The error 0x644 (ERROR_INSTALL_SUSPEND) means the installation was suspended and incomplete.
What does error 0x645 mean?,The error 0x645 (ERROR_UNKNOWN_PRODUCT) means this action is only valid for products that are currently installed.
What does error 0x646 mean?,The error 0x646 (ERROR_UNKNOWN_FEATURE) means the feature ID is not registered.
What does error 0x647 mean?,The error 0x647 (ERROR_UNKNOWN_COMPONENT) means the component ID is not registered.
What does error 0x648 mean?,The error 0x648 (ERROR_UNKNOWN_PROPERTY) means the property is unknown.
What does error 0x649 mean?,The error 0x649 (ERROR_INVALID_HANDLE_STATE) means the handle is in an invalid state.
What does error 0x64A mean?,The error 0x64A (ERROR_BAD_CONFIGURATION) means the configuration data for this product is corrupt.
What does error 0x64B mean?,The error 0x64B (ERROR_INDEX_ABSENT) means the component qualifier is not present.
What does error 0x64C mean?,The error 0x64C (ERROR_INSTALL_SOURCE_ABSENT) means the installation source for this product is not available.
What does error 0x64D mean?,The error 0x64D (ERROR_INSTALL_PACKAGE_VERSION) means the installation package cannot be installed by the Windows Installer service.
What does error 0x64E mean?,The error 0x64E (ERROR_PRODUCT_UNINSTALLED) means the product is uninstalled.
What does error 0x64F mean?,The error 0x64F (ERROR_BAD_QUERY_SYNTAX) means the SQL query syntax is invalid or unsupported.
What does error 0x650 mean?,The error 0x650 (ERROR_INVALID_FIELD) means the record field does not exist.
What does error 0x651 mean?,The error 0x651 (ERROR_DEVICE_REMOVED) means the device has been removed.
What does error 0x652 mean?,The error 0x652 (ERROR_INSTALL_ALREADY_RUNNING) means another installation is already in progress.
What does error 0x653 mean?,The error 0x653 (ERROR_INSTALL_PACKAGE_OPEN_FAILED) means the installation package could not be opened.
What does error 0x654 mean?,The error 0x654 (ERROR_INSTALL_PACKAGE_INVALID) means the installation package is invalid.
What does error 0x655 mean?,The error 0x655 (ERROR_INSTALL_UI_FAILURE) means there was an error starting the Windows Installer service user interface.
What does error 0x656 mean?,The error 0x656 (ERROR_INSTALL_LOG_FAILURE) means there was an error opening the installation log file.
What does error 0x657 mean?,The error 0x657 (ERROR_INSTALL_LANGUAGE_UNSUPPORTED) means the language of the installation package is not supported.
What does error 0x658 mean?,The error 0x658 (ERROR_INSTALL_TRANSFORM_FAILURE) means there was an error applying transforms.
What does error 0x659 mean?,The error 0x659 (ERROR_INSTALL_PACKAGE_REJECTED) means the installation is forbidden by system policy.
What does error 0x65A mean?,The error 0x65A (ERROR_FUNCTION_NOT_CALLED) means the function could not be executed.
What does error 0x65B mean?,The error 0x65B (ERROR_FUNCTION_FAILED) means the function failed during execution.
What does error 0x65C mean?,The error 0x65C (ERROR_INVALID_TABLE) means an invalid or unknown table was specified.
What does error 0x65D mean?,The error 0x65D (ERROR_DATATYPE_MISMATCH) means the data supplied is of the wrong type.
What does error 0x65E mean?,The error 0x65E (ERROR_UNSUPPORTED_TYPE) means the data type is not supported.
What does error 0x65F mean?,The error 0x65F (ERROR_CREATE_FAILED) means the Windows Installer service failed to start.
What does error 0x660 mean?,The error 0x660 (ERROR_INSTALL_TEMP_UNWRITABLE) means the Temp folder is on a drive that is full or inaccessible.
What does error 0x661 mean?,The error 0x661 (ERROR_INSTALL_PLATFORM_UNSUPPORTED) means the installation package is not supported by the processor type.
What does error 0x662 mean?,The error 0x662 (ERROR_INSTALL_NOTUSED) means the component is not used on this computer.
What does error 0x663 mean?,The error 0x663 (ERROR_PATCH_PACKAGE_OPEN_FAILED) means the update package could not be opened.
What does error 0x664 mean?,The error 0x664 (ERROR_PATCH_PACKAGE_INVALID) means the update package is invalid.
What does error 0x665 mean?,The error 0x665 (ERROR_PATCH_PACKAGE_UNSUPPORTED) means the update package cannot be processed by the Windows Installer service.
What does error 0x666 mean?,The error 0x666 (ERROR_PRODUCT_VERSION) means another version of the product is already installed.
What does error 0x667 mean?,The error 0x667 (ERROR_INVALID_COMMAND_LINE) means the command line argument is invalid.
What does error 0x668 mean?,The error 0x668 (ERROR_INSTALL_REMOTE_DISALLOWED) means only administrators can add remove or configure server software during a Terminal services remote session.
What does error 0x669 mean?,The error 0x669 (ERROR_SUCCESS_REBOOT_INITIATED) means the system will be restarted to apply changes.
